Data,Polaridade,Subjetividade,Sentiment,qtde
20130102,2.5,7.333333333333333,1.3125,4
20130103,0.0,1.0,0.0,1
20130107,0.23636363636363641,3.0545454545454547,0.15625000000000003,2
20130108,-0.1,2.1,-0.09090909090909091,2
20130109,1.8,4.0,0.9,2
20130110,0.15454545454545457,2.731818181818182,0.10798487544483988,2
20130111,0.5,3.6,0.2625,2
20130114,0.5,2.5,0.3333333333333333,2
20130115,0.85,3.8535714285714286,0.52693198005698,3
20130116,0.375,2.8,0.20833333333333331,2
20130117,0.2625,2.45,0.1810344827586207,2
20130118,0.0,2.0,0.0,2
20130121,0.03484848484848482,6.0606060606060606,0.01620370370370368,4
20130122,0.0,2.0,0.0,2
20130123,0.25,3.25,0.2,3
20130124,0.4666666666666666,2.4333333333333336,0.3255813953488372,2
20130125,0.6166666666666667,2.6666666666666665,0.37000000000000005,2
20130128,0.5528409090909091,2.6553030303030303,0.408059036118505,2
20130129,0.8,3.0,0.5258741258741259,2
20130130,0.2,2.625,0.12307692307692308,2
20130131,0.07083333333333333,2.4291666666666667,0.04956268221574344,2
20130201,0.3,3.4,0.2142857142857143,3
20130204,1.1166666666666667,6.133333333333333,0.6029411764705883,5
20130205,0.0,2.0,0.0,2
20130206,0.85,3.15,0.5454545454545454,2
20130207,0.0,2.0,0.0,2
20130208,0.01666666666666667,1.0958333333333332,0.015209125475285176,1
20130212,0.5,1.5,0.3333333333333333,1
20130213,0.35,1.3,0.2692307692307692,1
20130214,0.6666666666666666,2.7,0.392156862745098,2
20130215,0.0,1.0,0.0,1
20130218,0.2,2.2,0.16666666666666669,2
20130219,0.1,1.4,0.07142857142857144,1
20130220,0.0,1.0,0.0,1
20130221,0.08333333333333343,3.0,0.02529761904761907,2
20130222,0.9916666666666667,3.2,0.6323529411764706,2
20130225,1.475,3.75,0.7857142857142858,2
20130226,0.0,2.0,0.0,2
20130227,0.0625,2.75,0.07500000000000001,2
20130228,0.0,2.0,0.0,2
