data,abertura,fechamento
20171017,3.1763,3.1769
20171018,3.1667,3.1673
20171019,3.1727,3.1732
20171020,3.1827,3.1833
20171023,3.1997,3.2003
20171024,3.2464,3.2470
20171025,3.2381,3.2387
20171026,3.2438,3.2444
20171027,3.2795,3.2801
20171030,3.2541,3.2547
20171031,3.2763,3.2769
20171101,3.2730,3.2736
20171103,3.2914,3.2920
20171106,3.2845,3.2851
20171107,3.2727,3.2733
20171108,3.2503,3.2509
20171109,3.2509,3.2515
20171110,3.2655,3.2661
20171113,3.2867,3.2873
20171114,3.2828,3.2834
20171116,3.2802,3.2808
20171117,3.2782,3.2788
20171120,3.2608,3.2623
20171121,3.2585,3.2591
20171122,3.2555,3.2561
20171123,3.2365,3.2371
20171124,3.2294,3.2300
20171127,3.2212,3.2218
20171128,3.2226,3.2232
20171129,3.2130,3.2136
20171130,3.2610,3.2616
20171201,3.2630,3.2636
20171204,3.2500,3.2506
20171205,3.2316,3.2322
20171206,3.2348,3.2354
20171207,3.2886,3.2892
20171208,3.2805,3.2811
20171211,3.2839,3.2845
20171212,3.3143,3.3149
20171213,3.3030,3.3036
20171214,3.3326,3.3332
20171215,3.3176,3.3182
20171218,3.2875,3.2881
20171219,3.2877,3.2883
20171220,3.2903,3.2909
20171221,3.3039,3.3045
20171222,3.3203,3.3209
20171226,3.3194,3.3200
20171227,3.3024,3.3031
20171228,3.3074,3.3080
20171229,3.3074,3.3080
