data,dowjones
20161006,18268.50
20161005,18281.03
20161004,18168.45
20161003,18253.85
20160930,18308.15
20160929,18143.45
20160928,18339.24
20160927,18228.30
20160926,18094.83
20160923,18261.45
20160922,18392.46
20160921,18293.70
20160920,18129.96
20160919,18120.17
20160916,18123.80
20160915,18212.48
20160914,18034.77
20160913,18066.75
20160912,18325.07
20160909,18085.45
20160908,18479.91
20160907,18526.14
20160906,18538.12
20160902,18491.96
20160901,18419.30
20160831,18400.88
20160830,18454.30
20160829,18502.99
20160826,18395.40
20160825,18448.41
20160824,18481.48
20160823,18547.30
20160822,18529.42
20160819,18552.57
20160818,18597.70
20160817,18573.94
20160816,18552.02
20160815,18636.05
20160812,18576.47
20160811,18613.52
20160810,18495.66
20160809,18533.05
20160808,18529.29
20160805,18543.53
20160804,18352.05
20160803,18355.00
20160802,18313.77
20160801,18404.51
20160729,18432.24
20160728,18456.35
20160727,18472.17
20160726,18473.75
20160725,18493.06
20160722,18570.85
20160721,18517.23
20160720,18595.03
20160719,18559.01
20160718,18533.05
20160715,18516.55
20160714,18506.41
20160713,18372.12
20160712,18347.67
20160711,18226.93
20160708,18146.74
20160707,17895.88
20160706,17918.62
20160705,17840.62
20160701,17949.37
20160630,17929.99
20160629,17694.68
20160628,17409.72
20160627,17140.24
20160624,17400.75
20160623,18011.07
20160622,17780.83
20160621,17829.73
20160620,17804.87
20160617,17675.16
20160616,17733.10
20160615,17640.17
20160614,17674.82
20160613,17732.48
20160610,17865.34
20160609,17985.19
20160608,18005.05
20160607,17938.28
20160606,17920.33
20160603,17807.06
20160602,17838.56
20160601,17789.67
20160531,17787.20
20160527,17873.22
20160526,17828.29
20160525,17851.51
20160524,17706.05
20160523,17492.93
20160520,17500.94
20160519,17435.40
20160518,17526.62
20160517,17529.98
20160516,17710.71
20160513,17535.32
20160512,17720.50
20160511,17711.12
20160510,17928.35
20160509,17705.91
20160506,17740.63
20160505,17660.71
20160504,17651.26
20160503,17750.91
20160502,17891.16
20160429,17773.64
20160428,17830.76
20160427,18041.55
20160426,17990.32
20160425,17977.24
20160422,18003.75
20160421,17982.52
20160420,18096.27
20160419,18053.60
20160418,18004.16
20160415,17897.46
20160414,17926.43
20160413,17908.28
20160412,17721.25
20160411,17556.41
20160408,17576.96
20160407,17541.96
20160406,17716.05
20160405,17603.32
20160404,17737.00
20160401,17792.75
20160331,17685.09
20160330,17716.66
20160329,17633.11
20160328,17535.39
20160324,17515.73
20160323,17502.59
20160322,17582.57
20160321,17623.87
20160318,17602.30
20160317,17481.49
20160316,17325.76
20160315,17251.53
20160314,17229.13
20160311,17213.31
20160310,16995.13
20160309,17000.36
20160308,16964.10
20160307,17073.95
20160304,17006.77
20160303,16943.90
20160302,16899.32
20160301,16865.08
20160229,16516.50
20160226,16639.97
20160225,16697.29
20160224,16484.99
20160223,16431.78
20160222,16620.66
20160219,16391.99
20160218,16413.43
20160217,16453.83
20160216,16196.41
20160212,15973.84
20160211,15660.18
20160210,15914.74
20160209,16014.38
20160208,16027.05
20160205,16204.97
20160204,16416.58
20160203,16336.66
20160202,16153.54
20160201,16449.18
20160129,16466.30
20160128,16069.64
20160127,15944.46
20160126,16167.23
20160125,15885.22
20160122,16093.51
20160121,15882.68
20160120,15766.74
20160119,16016.02
20160115,15988.08
20160114,16379.05
20160113,16151.41
20160112,16516.22
20160111,16398.57
20160108,16346.45
20160107,16514.10
20160106,16906.51
20160105,17158.66
20160104,17148.94
20151231,17425.03
20151230,17603.87
20151229,17720.98
20151228,17528.27
20151224,17552.17
20151223,17602.61
20151222,17417.27
20151221,17251.62
20151218,17128.55
20151217,17495.84
20151216,17749.09
20151215,17524.91
20151214,17368.50
20151211,17265.21
20151210,17574.75
20151209,17492.30
20151208,17568.00
20151207,17730.51
20151204,17847.63
20151203,17477.67
20151202,17729.68
20151201,17888.35
20151130,17719.92
20151127,17798.49
20151125,17813.39
20151124,17812.19
20151123,17792.68
20151120,17823.81
20151119,17732.75
20151118,17737.16
20151117,17489.50
20151116,17483.01
20151113,17245.24
20151112,17448.07
20151111,17702.22
20151110,17758.21
20151109,17730.48
20151106,17910.33
20151105,17863.43
20151104,17867.58
20151103,17918.15
20151102,17828.76
20151030,17663.54
20151029,17755.80
20151028,17779.52
20151027,17581.43
20151026,17623.05
20151023,17646.70
20151022,17489.16
20151021,17168.61
20151020,17217.11
20151019,17230.54
20151016,17215.97
20151015,17141.75
20151014,16924.75
20151013,17081.89
20151012,17131.86
20151009,17084.49
20151008,17050.75
20151007,16912.29
20151006,16790.19
20151005,16776.43
20151002,16472.37
20151001,16272.01
20150930,16284.70
20150929,16049.13
20150928,16001.89
20150925,16314.67
20150924,16201.32
