data,Último
20160927,58382.49
20160926,58053.53
20160923,58697.00
20160922,58994.17
20160921,58393.92
20160920,57736.46
20160919,57350.38
20160916,57079.76
20160915,57909.49
20160914,57059.46
20160913,56820.77
20160912,58586.11
20160909,57999.73
20160908,60231.65
20160906,60129.44
20160905,59566.34
20160902,59616.40
20160901,58236.27
20160831,57901.11
20160830,58575.42
20160829,58610.39
20160826,57716.25
20160825,57722.14
20160824,57717.88
20160823,58020.03
20160822,57781.24
20160819,59098.92
20160818,59166.02
20160817,59323.83
20160816,58855.43
20160815,59145.98
20160812,58298.41
20160811,58299.57
20160810,56919.78
20160809,57689.42
20160808,57635.43
20160805,57661.14
20160804,57593.90
20160803,57076.91
20160802,56162.38
20160801,56755.76
20160729,57308.21
20160728,56667.12
20160727,56852.84
20160726,56782.75
20160725,56872.73
20160722,57002.08
20160721,56641.49
20160720,56578.05
20160719,56698.06
20160718,56484.22
20160715,55578.24
20160714,55480.87
20160713,54598.28
20160712,54256.41
20160711,53960.11
20160708,53140.74
20160707,52014.66
20160706,51901.81
20160705,51842.27
20160704,52568.66
20160701,52233.04
20160630,51526.93
20160629,51001.91
20160628,50006.56
20160627,49245.53
20160624,50105.26
20160623,51559.82
20160622,50156.30
20160621,50837.80
20160620,50329.36
20160617,49533.84
20160616,49411.62
20160615,48914.74
20160614,48648.29
20160613,49660.79
20160610,49422.16
20160609,51118.46
20160608,51629.29
20160607,50487.86
20160606,50431.80
20160603,50619.50
20160602,49887.24
20160601,49012.65
20160531,48471.71
20160530,48964.34
20160527,49051.49
20160525,49482.86
20160524,49345.19
20160523,49330.42
20160520,49722.75
20160519,50132.53
20160518,50561.70
20160517,50839.44
20160516,51802.92
20160513,51804.31
20160512,53241.31
20160511,52764.46
20160510,53070.91
20160509,50990.06
20160506,51717.83
20160505,51671.04
20160504,52552.80
20160503,52260.19
20160502,53561.53
20160429,53910.51
20160428,54311.97
20160427,54477.78
20160426,53082.50
20160425,51861.71
20160422,52907.88
20160420,53630.93
20160419,53710.05
20160418,52894.08
20160415,53227.74
20160414,52411.02
20160413,53149.84
20160412,52001.86
20160411,50165.47
20160408,50292.93
20160407,48513.10
20160406,48096.24
20160405,49053.62
20160404,48779.99
20160401,50561.53
20160331,50055.27
20160330,51248.92
20160329,51154.99
20160328,50838.23
20160324,49657.39
20160323,49690.05
20160322,51010.19
20160321,51171.55
20160318,50814.66
20160317,50913.79
20160316,47763.43
20160315,47130.02
20160314,48867.33
20160311,49638.68
20160310,49571.11
20160309,48665.09
20160308,49102.14
20160307,49246.10
20160304,49084.87
20160303,47193.39
20160302,44893.48
20160301,44121.79
20160229,42793.86
20160226,41593.08
20160225,41887.90
20160224,42084.56
20160223,42520.94
20160222,43234.85
20160219,41543.40
20160218,41477.63
20160217,41630.82
20160216,40947.70
20160215,40092.89
20160212,39808.05
20160211,39318.30
20160210,40376.58
20160205,40592.09
20160204,40821.74
20160203,39588.82
20160202,38596.17
20160201,40570.04
20160129,40405.99
20160128,38630.19
20160127,38376.37
20160126,37497.48
20160122,38031.22
20160121,37717.11
20160120,37645.48
20160119,38057.01
20160118,37937.27
20160115,38569.13
20160114,39500.11
20160113,38944.44
20160112,39513.83
20160111,39950.49
20160108,40612.21
20160107,40694.72
20160106,41773.14
20160105,42419.32
20160104,42141.04
20151230,43349.96
20151229,43653.97
20151228,43764.34
20151223,44014.93
20151222,43469.52
20151221,43199.95
20151218,43910.60
20151217,45261.48
20151216,45015.85
20151215,44872.47
20151214,44747.31
20151211,45262.72
20151210,45630.71
20151209,46108.03
20151208,44443.26
20151207,45222.70
20151204,45360.76
20151203,46393.26
20151202,44914.53
20151201,45046.75
20151130,45120.36
20151127,45872.92
20151126,47145.63
20151125,46866.63
20151124,48284.19
20151123,48150.27
20151119,48138.89
20151118,47435.58
20151117,47247.80
20151116,46846.87
20151113,46517.04
20151112,46883.58
20151111,47065.01
20151110,46206.57
20151109,46194.92
20151106,46918.52
20151105,48046.76
20151104,47710.10
20151103,48053.67
20151030,45868.82
20151029,45628.35
20151028,46740.85
20151027,47042.95
20151026,47209.32
20151023,47596.59
20151022,47772.14
20151021,47025.87
20151020,47076.55
20151019,47447.31
20151016,47236.10
20151015,47161.15
20151014,46710.44
20151013,47362.64
20151009,49338.41
20151008,49106.56
20151007,48914.32
20151006,47735.11
20151005,47598.07
20151002,47033.46
20151001,45313.27
20150930,45059.34
20150929,44131.82
20150928,43956.63
20150925,44831.46
20150924,45291.97
20150923,45340.11
20150922,46264.61
20150921,46590.20
20150918,47264.08
20150917,48551.08
20150916,48553.10
20150915,47364.07
20150914,47281.52
20150911,46400.51
20150910,46503.99
20150909,46657.10
20150908,46762.07
20150904,46497.72
20150903,47365.87
20150902,46463.96
20150901,45477.06
20150831,46625.52
20150828,47153.87
20150827,47715.27
20150826,46038.08
20150825,44544.85
20150824,44336.47
20150821,45719.64
20150820,46649.23
20150819,46588.39
20150818,47450.58
